folder,file,frames_processed,features_computed,output_path
CRIM13,1009459450.parquet,155148,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CRIM13/1009459450_features.parquet
CRIM13,1057221056.parquet,117082,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CRIM13/1057221056_features.parquet
CRIM13,1149348188.parquet,113386,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CRIM13/1149348188_features.parquet
CRIM13,1213233769.parquet,198506,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CRIM13/1213233769_features.parquet
CRIM13,1313797424.parquet,124740,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CRIM13/1313797424_features.parquet
CRIM13,1319309143.parquet,74872,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CRIM13/1319309143_features.parquet
CRIM13,1381910096.parquet,224238,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CRIM13/1381910096_features.parquet
CRIM13,1490000283.parquet,224084,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CRIM13/1490000283_features.parquet
CRIM13,1592386054.parquet,38178,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CRIM13/1592386054_features.parquet
CRIM13,1695807459.parquet,189434,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CRIM13/1695807459_features.parquet
CRIM13,1733903958.parquet,33418,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CRIM13/1733903958_features.parquet
CRIM13,1763467574.parquet,232624,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CRIM13/1763467574_features.parquet
CRIM13,1836572955.parquet,127148,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CRIM13/1836572955_features.parquet
CRIM13,1846302042.parquet,145572,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CRIM13/1846302042_features.parquet
CRIM13,1976539996.parquet,17038,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CRIM13/1976539996_features.parquet
CRIM13,2134094751.parquet,176834,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CRIM13/2134094751_features.parquet
CRIM13,363958890.parquet,141316,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CRIM13/363958890_features.parquet
CRIM13,415181540.parquet,174370,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CRIM13/415181540_features.parquet
CRIM13,670907179.parquet,195776,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CRIM13/670907179_features.parquet
CRIM13,793202924.parquet,141386,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CRIM13/793202924_features.parquet
CalMS21_supplemental,1006083669.parquet,248248,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1006083669_features.parquet
CalMS21_supplemental,1012566686.parquet,367248,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1012566686_features.parquet
CalMS21_supplemental,1012566850.parquet,266098,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1012566850_features.parquet
CalMS21_supplemental,1013428301.parquet,142016,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1013428301_features.parquet
CalMS21_supplemental,1014350333.parquet,88970,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1014350333_features.parquet
CalMS21_supplemental,1015291592.parquet,381164,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1015291592_features.parquet
CalMS21_supplemental,1017236040.parquet,143108,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1017236040_features.parquet
CalMS21_supplemental,1019240807.parquet,89740,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1019240807_features.parquet
CalMS21_supplemental,1032773418.parquet,501788,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1032773418_features.parquet
CalMS21_supplemental,1039672228.parquet,381822,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1039672228_features.parquet
CalMS21_supplemental,1047608795.parquet,72254,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1047608795_features.parquet
CalMS21_supplemental,1082445110.parquet,49252,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1082445110_features.parquet
CalMS21_supplemental,1085810295.parquet,381850,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1085810295_features.parquet
CalMS21_supplemental,1088021251.parquet,110810,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1088021251_features.parquet
CalMS21_supplemental,1092798869.parquet,270368,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1092798869_features.parquet
CalMS21_supplemental,1094348590.parquet,142156,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1094348590_features.parquet
CalMS21_supplemental,109675929.parquet,365610,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/109675929_features.parquet
CalMS21_supplemental,110342188.parquet,265580,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/110342188_features.parquet
CalMS21_supplemental,1105042798.parquet,366842,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1105042798_features.parquet
CalMS21_supplemental,1110611032.parquet,188034,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1110611032_features.parquet
CalMS21_supplemental,1116444590.parquet,244888,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1116444590_features.parquet
CalMS21_supplemental,1132476818.parquet,384664,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1132476818_features.parquet
CalMS21_supplemental,1133807709.parquet,241794,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1133807709_features.parquet
CalMS21_supplemental,1138789923.parquet,497630,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1138789923_features.parquet
CalMS21_supplemental,1142036064.parquet,381990,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1142036064_features.parquet
CalMS21_supplemental,1149399074.parquet,364308,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1149399074_features.parquet
CalMS21_supplemental,1158341062.parquet,372848,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1158341062_features.parquet
CalMS21_supplemental,1161382388.parquet,485282,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1161382388_features.parquet
CalMS21_supplemental,1161513440.parquet,369138,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1161513440_features.parquet
CalMS21_supplemental,1180251359.parquet,324282,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1180251359_features.parquet
CalMS21_supplemental,1185620508.parquet,255094,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1185620508_features.parquet
CalMS21_supplemental,119456810.parquet,75208,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/119456810_features.parquet
CalMS21_supplemental,1197353862.parquet,158662,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1197353862_features.parquet
CalMS21_supplemental,1207553838.parquet,126378,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1207553838_features.parquet
CalMS21_supplemental,121783441.parquet,93450,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/121783441_features.parquet
CalMS21_supplemental,1231968667.parquet,264138,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1231968667_features.parquet
CalMS21_supplemental,1267508818.parquet,105280,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1267508818_features.parquet
CalMS21_supplemental,1272568731.parquet,375592,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1272568731_features.parquet
CalMS21_supplemental,1272974030.parquet,168224,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1272974030_features.parquet
CalMS21_supplemental,1277377564.parquet,69216,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1277377564_features.parquet
CalMS21_supplemental,1278319432.parquet,80248,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1278319432_features.parquet
CalMS21_supplemental,1293027619.parquet,62496,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1293027619_features.parquet
CalMS21_supplemental,129371066.parquet,117236,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/129371066_features.parquet
CalMS21_supplemental,1301288495.parquet,363888,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1301288495_features.parquet
CalMS21_supplemental,1320201420.parquet,354214,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1320201420_features.parquet
CalMS21_supplemental,1327458782.parquet,194670,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1327458782_features.parquet
CalMS21_supplemental,1349102959.parquet,511616,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1349102959_features.parquet
CalMS21_supplemental,1356723283.parquet,51030,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1356723283_features.parquet
CalMS21_supplemental,1357765938.parquet,386218,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1357765938_features.parquet
CalMS21_supplemental,1362255317.parquet,414610,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1362255317_features.parquet
CalMS21_supplemental,1369858702.parquet,243278,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1369858702_features.parquet
CalMS21_supplemental,1383011506.parquet,92540,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1383011506_features.parquet
CalMS21_supplemental,1390249533.parquet,379414,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1390249533_features.parquet
CalMS21_supplemental,139083951.parquet,124516,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/139083951_features.parquet
CalMS21_supplemental,1411405064.parquet,208670,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1411405064_features.parquet
CalMS21_supplemental,1431927054.parquet,138796,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1431927054_features.parquet
CalMS21_supplemental,1432635091.parquet,82502,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1432635091_features.parquet
CalMS21_supplemental,1433266993.parquet,265244,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1433266993_features.parquet
CalMS21_supplemental,1442492479.parquet,373520,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1442492479_features.parquet
CalMS21_supplemental,1450277210.parquet,236334,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1450277210_features.parquet
CalMS21_supplemental,1458368239.parquet,58366,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1458368239_features.parquet
CalMS21_supplemental,1465225735.parquet,253484,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1465225735_features.parquet
CalMS21_supplemental,1465845118.parquet,366954,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1465845118_features.parquet
CalMS21_supplemental,1474034537.parquet,158858,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1474034537_features.parquet
CalMS21_supplemental,1480402902.parquet,248724,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1480402902_features.parquet
CalMS21_supplemental,1491960718.parquet,77560,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1491960718_features.parquet
CalMS21_supplemental,1498476778.parquet,267246,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1498476778_features.parquet
CalMS21_supplemental,1500887132.parquet,248710,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1500887132_features.parquet
CalMS21_supplemental,1501429415.parquet,82110,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1501429415_features.parquet
CalMS21_supplemental,1505228483.parquet,115850,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1505228483_features.parquet
CalMS21_supplemental,1508568688.parquet,363314,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1508568688_features.parquet
CalMS21_supplemental,1512101591.parquet,75488,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1512101591_features.parquet
CalMS21_supplemental,1516524771.parquet,378882,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1516524771_features.parquet
CalMS21_supplemental,1520746939.parquet,94556,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1520746939_features.parquet
CalMS21_supplemental,1523817911.parquet,204582,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1523817911_features.parquet
CalMS21_supplemental,1525217575.parquet,365596,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1525217575_features.parquet
CalMS21_supplemental,1531311092.parquet,275100,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1531311092_features.parquet
CalMS21_supplemental,1536671381.parquet,124936,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1536671381_features.parquet
CalMS21_supplemental,1542354568.parquet,229474,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1542354568_features.parquet
CalMS21_supplemental,1543288869.parquet,59038,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1543288869_features.parquet
CalMS21_supplemental,1573791367.parquet,383334,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1573791367_features.parquet
CalMS21_supplemental,1576527395.parquet,229964,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1576527395_features.parquet
CalMS21_supplemental,1580520873.parquet,246946,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1580520873_features.parquet
CalMS21_supplemental,158696718.parquet,228144,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/158696718_features.parquet
CalMS21_supplemental,1591554758.parquet,196322,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1591554758_features.parquet
CalMS21_supplemental,1591747692.parquet,369600,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1591747692_features.parquet
CalMS21_supplemental,1591757847.parquet,361452,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1591757847_features.parquet
CalMS21_supplemental,1600524631.parquet,258076,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1600524631_features.parquet
CalMS21_supplemental,1602849635.parquet,372512,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1602849635_features.parquet
CalMS21_supplemental,162065037.parquet,376488,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/162065037_features.parquet
CalMS21_supplemental,1622496449.parquet,64820,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1622496449_features.parquet
CalMS21_supplemental,162657728.parquet,258062,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/162657728_features.parquet
CalMS21_supplemental,1630924702.parquet,526904,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1630924702_features.parquet
CalMS21_supplemental,163541934.parquet,102578,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/163541934_features.parquet
CalMS21_supplemental,1639493039.parquet,265594,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1639493039_features.parquet
CalMS21_supplemental,1639810716.parquet,386274,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1639810716_features.parquet
CalMS21_supplemental,1644423633.parquet,232162,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1644423633_features.parquet
CalMS21_supplemental,165039922.parquet,303758,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/165039922_features.parquet
CalMS21_supplemental,1652683860.parquet,149968,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1652683860_features.parquet
CalMS21_supplemental,1658817801.parquet,261114,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1658817801_features.parquet
CalMS21_supplemental,1675950633.parquet,59430,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1675950633_features.parquet
CalMS21_supplemental,1683673468.parquet,371070,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1683673468_features.parquet
CalMS21_supplemental,1691279417.parquet,372470,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1691279417_features.parquet
CalMS21_supplemental,1691760122.parquet,505666,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1691760122_features.parquet
CalMS21_supplemental,1692251795.parquet,148778,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1692251795_features.parquet
CalMS21_supplemental,1695342547.parquet,76482,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1695342547_features.parquet
CalMS21_supplemental,1695348554.parquet,231238,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1695348554_features.parquet
CalMS21_supplemental,1703310497.parquet,486192,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1703310497_features.parquet
CalMS21_supplemental,1706585169.parquet,389116,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1706585169_features.parquet
CalMS21_supplemental,1724547877.parquet,121212,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1724547877_features.parquet
CalMS21_supplemental,1727431909.parquet,245938,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1727431909_features.parquet
CalMS21_supplemental,1729232290.parquet,60326,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1729232290_features.parquet
CalMS21_supplemental,17308182.parquet,254282,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/17308182_features.parquet
CalMS21_supplemental,1733995999.parquet,365638,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1733995999_features.parquet
CalMS21_supplemental,1741457167.parquet,54936,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1741457167_features.parquet
CalMS21_supplemental,1743317707.parquet,151340,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1743317707_features.parquet
CalMS21_supplemental,1744212563.parquet,492212,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1744212563_features.parquet
CalMS21_supplemental,1761366259.parquet,373898,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1761366259_features.parquet
CalMS21_supplemental,176648153.parquet,334782,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/176648153_features.parquet
CalMS21_supplemental,1771120435.parquet,240394,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1771120435_features.parquet
CalMS21_supplemental,1774554697.parquet,140028,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1774554697_features.parquet
CalMS21_supplemental,1776748589.parquet,365176,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1776748589_features.parquet
CalMS21_supplemental,1788436101.parquet,255542,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1788436101_features.parquet
CalMS21_supplemental,182143115.parquet,371252,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/182143115_features.parquet
CalMS21_supplemental,1821740904.parquet,358050,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1821740904_features.parquet
CalMS21_supplemental,1828414810.parquet,199500,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1828414810_features.parquet
CalMS21_supplemental,1830370330.parquet,283318,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1830370330_features.parquet
CalMS21_supplemental,1831993765.parquet,135898,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1831993765_features.parquet
CalMS21_supplemental,1853523159.parquet,251020,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1853523159_features.parquet
CalMS21_supplemental,1865009668.parquet,362852,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1865009668_features.parquet
CalMS21_supplemental,1869967336.parquet,493444,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1869967336_features.parquet
CalMS21_supplemental,1870526030.parquet,260246,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1870526030_features.parquet
CalMS21_supplemental,1872766812.parquet,234878,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1872766812_features.parquet
CalMS21_supplemental,1875246754.parquet,306852,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1875246754_features.parquet
CalMS21_supplemental,1881725588.parquet,379596,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1881725588_features.parquet
CalMS21_supplemental,1887057159.parquet,104888,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1887057159_features.parquet
CalMS21_supplemental,1887340589.parquet,274638,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1887340589_features.parquet
CalMS21_supplemental,1900472420.parquet,176736,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1900472420_features.parquet
CalMS21_supplemental,1907533650.parquet,84028,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1907533650_features.parquet
CalMS21_supplemental,1910565976.parquet,364966,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1910565976_features.parquet
CalMS21_supplemental,1914240174.parquet,211372,10,/home/rahuladhi/Desktop/AI/MABe/data/features_intermediate/CalMS21_supplemental/1914240174_features.parquet
