tracking_range,annotation_range,tracking_frames,annotation_frames,overlap_frames,tracking_utilization_ratio,annotation_coverage_ratio,status,action,final_range,folder,file
"(0, 26206)","(3, 26206)",26207,26204,26204,0.999886,1.0,aligned,none,"(3, 26206)",CalMS21_supplemental,1105042798.parquet
"(0, 15053)","(1622, 15053)",15054,13432,13432,0.892255,1.0,manual_review,check_alignment,"(1622, 15053)",CalMS21_supplemental,1110611032.parquet
"(0, 18208)","(46, 17538)",18209,17493,17493,0.960679,1.0,auto_trim,trim_to_intersection,"(46, 17538)",CalMS21_supplemental,1116444590.parquet
"(0, 27605)","(5, 27481)",27606,27477,27477,0.995327,1.0,aligned,none,"(5, 27481)",CalMS21_supplemental,1132476818.parquet
"(0, 18550)","(208, 17479)",18551,17272,17272,0.931055,1.0,manual_review,check_alignment,"(208, 17479)",CalMS21_supplemental,1133807709.parquet
"(0, 36259)","(99, 35644)",36260,35546,35546,0.980309,1.0,auto_trim,trim_to_intersection,"(99, 35644)",CalMS21_supplemental,1138789923.parquet
"(0, 27787)","(1, 27286)",27788,27286,27286,0.981935,1.0,auto_trim,trim_to_intersection,"(1, 27286)",CalMS21_supplemental,1142036064.parquet
"(0, 26412)","(5, 26027)",26413,26023,26023,0.985235,1.0,auto_trim,trim_to_intersection,"(5, 26027)",CalMS21_supplemental,1149399074.parquet
"(0, 26734)","(22, 26654)",26735,26633,26633,0.996185,1.0,aligned,none,"(22, 26654)",CalMS21_supplemental,1158341062.parquet
"(0, 34997)","(136, 34799)",34998,34664,34664,0.990457,1.0,aligned,none,"(136, 34799)",CalMS21_supplemental,1161382388.parquet
"(0, 26624)","(16, 26383)",26625,26368,26368,0.990347,1.0,aligned,none,"(16, 26383)",CalMS21_supplemental,1161513440.parquet
"(0, 24159)","(996, 24159)",24160,23164,23164,0.958775,1.0,auto_trim,trim_to_intersection,"(996, 24159)",CalMS21_supplemental,1180251359.parquet
"(0, 18256)","(35, 18256)",18257,18222,18222,0.998083,1.0,aligned,none,"(35, 18256)",CalMS21_supplemental,1185620508.parquet
"(0, 5670)","(1, 5373)",5671,5373,5373,0.947452,1.0,manual_review,check_alignment,"(1, 5373)",CalMS21_supplemental,119456810.parquet
"(0, 11664)","(29, 11362)",11665,11334,11334,0.971625,1.0,auto_trim,trim_to_intersection,"(29, 11362)",CalMS21_supplemental,1197353862.parquet
"(0, 9078)","(11, 9038)",9079,9028,9028,0.994383,1.0,aligned,none,"(11, 9038)",CalMS21_supplemental,1207553838.parquet
"(0, 6948)","(1, 6676)",6949,6676,6676,0.960714,1.0,auto_trim,trim_to_intersection,"(1, 6676)",CalMS21_supplemental,121783441.parquet
"(0, 19138)","(20, 18887)",19139,18868,18868,0.98584,1.0,auto_trim,trim_to_intersection,"(20, 18887)",CalMS21_supplemental,1231968667.parquet
"(0, 8007)","(53, 7573)",8008,7521,7521,0.939186,1.0,manual_review,check_alignment,"(53, 7573)",CalMS21_supplemental,1267508818.parquet
"(0, 26978)","(47, 26875)",26979,26829,26829,0.99444,1.0,aligned,none,"(47, 26875)",CalMS21_supplemental,1272568731.parquet
"(0, 12366)","(70, 12086)",12367,12017,12017,0.971699,1.0,auto_trim,trim_to_intersection,"(70, 12086)",CalMS21_supplemental,1272974030.parquet
"(0, 5226)","(182, 5126)",5227,4945,4945,0.946049,1.0,manual_review,check_alignment,"(182, 5126)",CalMS21_supplemental,1277377564.parquet
"(0, 5894)","(40, 5772)",5895,5733,5733,0.972519,1.0,auto_trim,trim_to_intersection,"(40, 5772)",CalMS21_supplemental,1278319432.parquet
"(0, 5335)","(1, 4465)",5336,4465,4465,0.836769,1.0,manual_review,check_alignment,"(1, 4465)",CalMS21_supplemental,1293027619.parquet
"(0, 9259)","(621, 8995)",9260,8375,8375,0.904428,1.0,manual_review,check_alignment,"(621, 8995)",CalMS21_supplemental,129371066.parquet
"(0, 26023)","(31, 26023)",26024,25993,25993,0.998809,1.0,aligned,none,"(31, 26023)",CalMS21_supplemental,1301288495.parquet
"(0, 26053)","(30, 25331)",26054,25302,25302,0.971137,1.0,auto_trim,trim_to_intersection,"(30, 25331)",CalMS21_supplemental,1320201420.parquet
"(0, 14237)","(236, 14141)",14238,13906,13906,0.976682,1.0,auto_trim,trim_to_intersection,"(236, 14141)",CalMS21_supplemental,1327458782.parquet
"(0, 36707)","(49, 36593)",36708,36545,36545,0.99556,1.0,aligned,none,"(49, 36593)",CalMS21_supplemental,1349102959.parquet
"(0, 3646)","(1, 3646)",3647,3646,3646,0.999726,1.0,aligned,none,"(1, 3646)",CalMS21_supplemental,1356723283.parquet
"(0, 27692)","(5, 27592)",27693,27588,27588,0.996208,1.0,aligned,none,"(5, 27592)",CalMS21_supplemental,1357765938.parquet
"(0, 29921)","(261, 29876)",29922,29616,29616,0.989773,1.0,auto_trim,trim_to_intersection,"(261, 29876)",CalMS21_supplemental,1362255317.parquet
"(0, 17857)","(85, 17462)",17858,17378,17378,0.973121,1.0,auto_trim,trim_to_intersection,"(85, 17462)",CalMS21_supplemental,1369858702.parquet
"(0, 7057)","(273, 6883)",7058,6611,6611,0.936668,1.0,manual_review,check_alignment,"(273, 6883)",CalMS21_supplemental,1383011506.parquet
"(0, 27317)","(1, 27102)",27318,27102,27102,0.992093,1.0,aligned,none,"(1, 27102)",CalMS21_supplemental,1390249533.parquet
"(0, 9006)","(1, 8895)",9007,8895,8895,0.987565,1.0,auto_trim,trim_to_intersection,"(1, 8895)",CalMS21_supplemental,139083951.parquet
"(0, 17754)","(15, 14920)",17755,14906,14906,0.839538,1.0,manual_review,check_alignment,"(15, 14920)",CalMS21_supplemental,1411405064.parquet
"(0, 9923)","(3, 9917)",9924,9915,9915,0.999093,1.0,aligned,none,"(3, 9917)",CalMS21_supplemental,1431927054.parquet
"(0, 6292)","(1, 5894)",6293,5894,5894,0.936596,1.0,manual_review,check_alignment,"(1, 5894)",CalMS21_supplemental,1432635091.parquet
"(0, 19210)","(264, 19210)",19211,18947,18947,0.986258,1.0,auto_trim,trim_to_intersection,"(264, 19210)",CalMS21_supplemental,1433266993.parquet
"(0, 26839)","(103, 26783)",26840,26681,26681,0.994076,1.0,aligned,none,"(103, 26783)",CalMS21_supplemental,1442492479.parquet
"(0, 16925)","(38, 16919)",16926,16882,16882,0.9974,1.0,aligned,none,"(38, 16919)",CalMS21_supplemental,1450277210.parquet
"(0, 4937)","(1, 4170)",4938,4170,4170,0.844471,1.0,manual_review,check_alignment,"(1, 4170)",CalMS21_supplemental,1458368239.parquet
"(0, 18664)","(106, 18212)",18665,18107,18107,0.970104,1.0,auto_trim,trim_to_intersection,"(106, 18212)",CalMS21_supplemental,1465225735.parquet
"(0, 26550)","(20, 26231)",26551,26212,26212,0.987232,1.0,auto_trim,trim_to_intersection,"(20, 26231)",CalMS21_supplemental,1465845118.parquet
"(0, 12102)","(237, 11584)",12103,11348,11348,0.937619,1.0,manual_review,check_alignment,"(237, 11584)",CalMS21_supplemental,1474034537.parquet
"(0, 17801)","(35, 17801)",17802,17767,17767,0.998034,1.0,aligned,none,"(35, 17801)",CalMS21_supplemental,1480402902.parquet
"(0, 5722)","(55, 5595)",5723,5541,5541,0.968198,1.0,auto_trim,trim_to_intersection,"(55, 5595)",CalMS21_supplemental,1491960718.parquet
"(0, 19444)","(323, 19412)",19445,19090,19090,0.981743,1.0,auto_trim,trim_to_intersection,"(323, 19412)",CalMS21_supplemental,1498476778.parquet
"(0, 18016)","(169, 17934)",18017,17766,17766,0.986069,1.0,auto_trim,trim_to_intersection,"(169, 17934)",CalMS21_supplemental,1500887132.parquet
"(0, 5949)","(1, 5866)",5950,5866,5866,0.985882,1.0,auto_trim,trim_to_intersection,"(1, 5866)",CalMS21_supplemental,1501429415.parquet
"(0, 8462)","(14, 8289)",8463,8276,8276,0.977904,1.0,auto_trim,trim_to_intersection,"(14, 8289)",CalMS21_supplemental,1505228483.parquet
"(0, 26210)","(2, 25953)",26211,25952,25952,0.990119,1.0,aligned,none,"(2, 25953)",CalMS21_supplemental,1508568688.parquet
"(0, 5784)","(5, 5397)",5785,5393,5393,0.932239,1.0,manual_review,check_alignment,"(5, 5397)",CalMS21_supplemental,1512101591.parquet
"(0, 27152)","(4, 27067)",27153,27064,27064,0.996722,1.0,aligned,none,"(4, 27067)",CalMS21_supplemental,1516524771.parquet
"(0, 6923)","(1, 6755)",6924,6755,6755,0.975592,1.0,auto_trim,trim_to_intersection,"(1, 6755)",CalMS21_supplemental,1520746939.parquet
"(0, 14632)","(19, 14632)",14633,14614,14614,0.998702,1.0,aligned,none,"(19, 14632)",CalMS21_supplemental,1523817911.parquet
"(0, 26671)","(5, 26119)",26672,26115,26115,0.979117,1.0,auto_trim,trim_to_intersection,"(5, 26119)",CalMS21_supplemental,1525217575.parquet
"(0, 19651)","(1, 19651)",19652,19651,19651,0.999949,1.0,aligned,none,"(1, 19651)",CalMS21_supplemental,1531311092.parquet
"(0, 9068)","(1, 8925)",9069,8925,8925,0.984122,1.0,auto_trim,trim_to_intersection,"(1, 8925)",CalMS21_supplemental,1536671381.parquet
"(0, 18219)","(95, 16486)",18220,16392,16392,0.899671,1.0,manual_review,check_alignment,"(95, 16486)",CalMS21_supplemental,1542354568.parquet
"(0, 5024)","(577, 4794)",5025,4218,4218,0.839403,1.0,manual_review,check_alignment,"(577, 4794)",CalMS21_supplemental,1543288869.parquet
"(0, 27735)","(5, 27386)",27736,27382,27382,0.987237,1.0,auto_trim,trim_to_intersection,"(5, 27386)",CalMS21_supplemental,1573791367.parquet
"(0, 17643)","(104, 16530)",17644,16427,16427,0.931025,1.0,manual_review,check_alignment,"(104, 16530)",CalMS21_supplemental,1576527395.parquet
"(0, 19495)","(1856, 19495)",19496,17640,17640,0.904801,1.0,manual_review,check_alignment,"(1856, 19495)",CalMS21_supplemental,1580520873.parquet
"(0, 19773)","(3477, 19773)",19774,16297,16297,0.824163,1.0,manual_review,check_alignment,"(3477, 19773)",CalMS21_supplemental,158696718.parquet
"(0, 14275)","(213, 14236)",14276,14024,14024,0.982348,1.0,auto_trim,trim_to_intersection,"(213, 14236)",CalMS21_supplemental,1591554758.parquet
"(0, 26672)","(89, 26489)",26673,26401,26401,0.989802,1.0,auto_trim,trim_to_intersection,"(89, 26489)",CalMS21_supplemental,1591747692.parquet
"(0, 26040)","(191, 26009)",26041,25819,25819,0.991475,1.0,aligned,none,"(191, 26009)",CalMS21_supplemental,1591757847.parquet
"(0, 19717)","(488, 18922)",19718,18435,18435,0.934933,1.0,manual_review,check_alignment,"(488, 18922)",CalMS21_supplemental,1600524631.parquet
"(0, 26641)","(1, 26609)",26642,26609,26609,0.998761,1.0,aligned,none,"(1, 26609)",CalMS21_supplemental,1602849635.parquet
"(0, 27947)","(1, 26893)",27948,26893,26893,0.962251,1.0,auto_trim,trim_to_intersection,"(1, 26893)",CalMS21_supplemental,162065037.parquet
"(0, 5449)","(1, 4631)",5450,4631,4631,0.849725,1.0,manual_review,check_alignment,"(1, 4631)",CalMS21_supplemental,1622496449.parquet
"(0, 18602)","(19, 18452)",18603,18434,18434,0.990915,1.0,aligned,none,"(19, 18452)",CalMS21_supplemental,162657728.parquet
"(0, 37708)","(29, 37665)",37709,37637,37637,0.998091,1.0,aligned,none,"(29, 37665)",CalMS21_supplemental,1630924702.parquet
"(0, 8025)","(1, 7328)",8026,7328,7328,0.913033,1.0,manual_review,check_alignment,"(1, 7328)",CalMS21_supplemental,163541934.parquet
"(0, 18990)","(19, 18990)",18991,18972,18972,0.999,1.0,aligned,none,"(19, 18990)",CalMS21_supplemental,1639493039.parquet
"(0, 28000)","(4, 27595)",28001,27592,27592,0.985393,1.0,auto_trim,trim_to_intersection,"(4, 27595)",CalMS21_supplemental,1639810716.parquet
"(0, 21955)","(5372, 21955)",21956,16584,16584,0.755329,1.0,manual_review,check_alignment,"(5372, 21955)",CalMS21_supplemental,1644423633.parquet
"(0, 21941)","(83, 21780)",21942,21698,21698,0.98888,1.0,auto_trim,trim_to_intersection,"(83, 21780)",CalMS21_supplemental,165039922.parquet
"(0, 11102)","(251, 10963)",11103,10713,10713,0.964874,1.0,auto_trim,trim_to_intersection,"(251, 10963)",CalMS21_supplemental,1652683860.parquet
"(0, 18677)","(26, 18677)",18678,18652,18652,0.998608,1.0,aligned,none,"(26, 18677)",CalMS21_supplemental,1658817801.parquet
"(0, 4899)","(1, 4246)",4900,4246,4246,0.866531,1.0,manual_review,check_alignment,"(1, 4246)",CalMS21_supplemental,1675950633.parquet
"(0, 26651)","(42, 26547)",26652,26506,26506,0.994522,1.0,aligned,none,"(42, 26547)",CalMS21_supplemental,1683673468.parquet
"(0, 27014)","(13, 26618)",27015,26606,26606,0.98486,1.0,auto_trim,trim_to_intersection,"(13, 26618)",CalMS21_supplemental,1691279417.parquet
"(0, 36398)","(67, 36186)",36399,36120,36120,0.992335,1.0,aligned,none,"(67, 36186)",CalMS21_supplemental,1691760122.parquet
"(0, 11074)","(68, 10695)",11075,10628,10628,0.959639,1.0,auto_trim,trim_to_intersection,"(68, 10695)",CalMS21_supplemental,1692251795.parquet
"(0, 6271)","(1, 5464)",6272,5464,5464,0.871173,1.0,manual_review,check_alignment,"(1, 5464)",CalMS21_supplemental,1695342547.parquet
"(0, 16828)","(207, 16724)",16829,16518,16518,0.98152,1.0,auto_trim,trim_to_intersection,"(207, 16724)",CalMS21_supplemental,1695348554.parquet
"(0, 35468)","(96, 34824)",35469,34729,34729,0.979137,1.0,auto_trim,trim_to_intersection,"(96, 34824)",CalMS21_supplemental,1703310497.parquet
"(0, 27843)","(6, 27800)",27844,27795,27795,0.99824,1.0,aligned,none,"(6, 27800)",CalMS21_supplemental,1706585169.parquet
"(0, 9266)","(1, 8659)",9267,8659,8659,0.934391,1.0,manual_review,check_alignment,"(1, 8659)",CalMS21_supplemental,1724547877.parquet
"(0, 17716)","(74, 17641)",17717,17568,17568,0.99159,1.0,aligned,none,"(74, 17641)",CalMS21_supplemental,1727431909.parquet
"(0, 4372)","(1, 4310)",4373,4310,4310,0.985593,1.0,auto_trim,trim_to_intersection,"(1, 4310)",CalMS21_supplemental,1729232290.parquet
"(0, 18464)","(45, 18208)",18465,18164,18164,0.983699,1.0,auto_trim,trim_to_intersection,"(45, 18208)",CalMS21_supplemental,17308182.parquet
"(0, 26329)","(78, 26195)",26330,26118,26118,0.991948,1.0,aligned,none,"(78, 26195)",CalMS21_supplemental,1733995999.parquet
"(0, 4066)","(126, 4050)",4067,3925,3925,0.965085,1.0,auto_trim,trim_to_intersection,"(126, 4050)",CalMS21_supplemental,1741457167.parquet
"(0, 12756)","(948, 11758)",12757,10811,10811,0.847456,1.0,manual_review,check_alignment,"(948, 11758)",CalMS21_supplemental,1743317707.parquet
"(0, 35347)","(165, 35323)",35348,35159,35159,0.994653,1.0,aligned,none,"(165, 35323)",CalMS21_supplemental,1744212563.parquet
"(0, 26806)","(16, 26723)",26807,26708,26708,0.996307,1.0,aligned,none,"(16, 26723)",CalMS21_supplemental,1761366259.parquet
"(0, 24635)","(1, 23914)",24636,23914,23914,0.970693,1.0,auto_trim,trim_to_intersection,"(1, 23914)",CalMS21_supplemental,176648153.parquet
"(0, 17350)","(169, 17340)",17351,17172,17172,0.989684,1.0,auto_trim,trim_to_intersection,"(169, 17340)",CalMS21_supplemental,1771120435.parquet
"(0, 11754)","(29, 10031)",11755,10003,10003,0.850957,1.0,manual_review,check_alignment,"(29, 10031)",CalMS21_supplemental,1774554697.parquet
"(0, 26487)","(143, 26227)",26488,26085,26085,0.984786,1.0,auto_trim,trim_to_intersection,"(143, 26227)",CalMS21_supplemental,1776748589.parquet
"(0, 18335)","(82, 18335)",18336,18254,18254,0.995528,1.0,aligned,none,"(82, 18335)",CalMS21_supplemental,1788436101.parquet
"(0, 27276)","(6, 26524)",27277,26519,26519,0.972211,1.0,auto_trim,trim_to_intersection,"(6, 26524)",CalMS21_supplemental,182143115.parquet
"(0, 26105)","(177, 25752)",26106,25576,25576,0.979698,1.0,auto_trim,trim_to_intersection,"(177, 25752)",CalMS21_supplemental,1821740904.parquet
"(0, 20207)","(5957, 20207)",20208,14251,14251,0.705216,1.0,manual_review,check_alignment,"(5957, 20207)",CalMS21_supplemental,1828414810.parquet
"(0, 21038)","(801, 21038)",21039,20238,20238,0.961928,1.0,auto_trim,trim_to_intersection,"(801, 21038)",CalMS21_supplemental,1830370330.parquet
"(0, 9708)","(1, 9708)",9709,9708,9708,0.999897,1.0,aligned,none,"(1, 9708)",CalMS21_supplemental,1831993765.parquet
"(0, 21192)","(3262, 21192)",21193,17931,17931,0.846081,1.0,manual_review,check_alignment,"(3262, 21192)",CalMS21_supplemental,1853523159.parquet
"(0, 26064)","(35, 25953)",26065,25919,25919,0.994399,1.0,aligned,none,"(35, 25953)",CalMS21_supplemental,1865009668.parquet
"(0, 35318)","(72, 35318)",35319,35247,35247,0.997961,1.0,aligned,none,"(72, 35318)",CalMS21_supplemental,1869967336.parquet
"(0, 18931)","(110, 18699)",18932,18590,18590,0.981935,1.0,auto_trim,trim_to_intersection,"(110, 18699)",CalMS21_supplemental,1870526030.parquet
"(0, 17715)","(938, 17715)",17716,16778,16778,0.947054,1.0,manual_review,check_alignment,"(938, 17715)",CalMS21_supplemental,1872766812.parquet
"(0, 22006)","(88, 22006)",22007,21919,21919,0.996001,1.0,aligned,none,"(88, 22006)",CalMS21_supplemental,1875246754.parquet
"(0, 27212)","(26, 27140)",27213,27115,27115,0.996399,1.0,aligned,none,"(26, 27140)",CalMS21_supplemental,1881725588.parquet
"(0, 7566)","(1, 7493)",7567,7493,7493,0.990221,1.0,aligned,none,"(1, 7493)",CalMS21_supplemental,1887057159.parquet
"(0, 21121)","(1504, 21121)",21122,19618,19618,0.928795,1.0,manual_review,check_alignment,"(1504, 21121)",CalMS21_supplemental,1887340589.parquet
"(0, 12936)","(32, 12656)",12937,12625,12625,0.975883,1.0,auto_trim,trim_to_intersection,"(32, 12656)",CalMS21_supplemental,1900472420.parquet
"(0, 6129)","(68, 6070)",6130,6003,6003,0.979282,1.0,auto_trim,trim_to_intersection,"(68, 6070)",CalMS21_supplemental,1907533650.parquet
"(0, 26512)","(443, 26512)",26513,26070,26070,0.983291,1.0,auto_trim,trim_to_intersection,"(443, 26512)",CalMS21_supplemental,1910565976.parquet
"(0, 20144)","(2383, 17481)",20145,15099,15099,0.749516,1.0,manual_review,check_alignment,"(2383, 17481)",CalMS21_supplemental,1914240174.parquet
